City,Subject,Participants,Time,Description,State,Date,Date_start,Date_end
Anaheim,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",50-60 demonstrators,Evening,At Harbor & Lincoln Ave,CA,"Monday, June 1, 2020",2020-06-01,NA
Springfield,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000+ demonstrators,Afternoon-Evening,No details included for this demonstration.,IL,"Monday, June 1, 2020",2020-06-01,NA
Lincoln,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,NE,"Monday, June 1, 2020",2020-06-01,NA
Omaha,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",300+ demonstrators,Evening,No details included for this demonstration.,NE,"Monday, June 1, 2020",2020-06-01,NA
"Dunedin, New Zealand","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,No details included for this demonstration.,NA,"Monday, June 1, 2020",2020-06-01,NA
"Wellington, New Zealand","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,NA,"Monday, June 1, 2020",2020-06-01,NA
Albuquerque,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,March in rain,NM,"Monday, June 1, 2020",2020-06-01,NA
Raleigh,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Evening-Morning,No details included for this demonstration.,NC,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200 demonstrators,Evening,"Rally at Penn Park, march thru city; group splintered near end",PA,"Monday, June 1, 2020",2020-06-01,NA
Williamsburg,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,VA,"Monday, June 1, 2020",2020-06-01,NA
Midland,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",12 demonstrators,Evening,No details included for this demonstration.,TX,"Monday, June 1, 2020",2020-06-01,NA
"London, England","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon (est.),March to US Embassy (street to US Embassy blocked b/c high num of protesters),NA,"Sunday, May 31, 2020",2020-05-31,NA
"Copenhagen, Denmark","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",2000 demonstrators,Afternoon,No details included for this demonstration.,NA,"Sunday, May 31, 2020",2020-05-31,NA
Youngstown,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200-300 (est.) demonstrators,Afternoon,No details included for this demonstration.,OH,"Sunday, May 31, 2020",2020-05-31,NA
New Haven,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000+ (est.) demonstrators,Afternoon-Evening,I-95 shutdown,CT,"Sunday, May 31, 2020",2020-05-31,NA
San Diego,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000 (est.) demonstrators,Afternoon-Evening,No details included for this demonstration.,CA,"Sunday, May 31, 2020",2020-05-31,NA
Modesto,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",500 (est.) demonstrators,Morning,No details included for this demonstration.,CA,"Sunday, May 31, 2020",2020-05-31,NA
Charlotte,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",3000+ demonstrators,Afternoon,No details included for this demonstration.,NC,"Sunday, May 31, 2020",2020-05-31,NA
Tampa,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,No details for this protest,FL,"Sunday, May 31, 2020",2020-05-31,NA
Boston,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,No details for this protest,MA,"Sunday, May 31, 2020",2020-05-31,NA
Lockport,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Dozens of demonstrators,Evening,No details included for this demonstration.,NY,"Monday, June 1, 2020",2020-06-01,NA
"Halifax, Canada","George Floyd, Regis Korchinski-Paquet, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,NA,"Monday, June 1, 2020",2020-06-01,NA
Chicago,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,March from Lakeview to Uptown,IL,"Monday, June 1, 2020",2020-06-01,NA
Seattle,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,No details included for this demonstration.,WA,"Monday, June 1, 2020",2020-06-01,NA
Pittsburgh,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,No details included for this demonstration.,PA,"Monday, June 1, 2020",2020-06-01,NA
Philadelphia,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,March w/ I-676 shutdown,PA,"Monday, June 1, 2020",2020-06-01,NA
Portland,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000+ demonstrators,Evening,3 separate marches (will be sorted into 3 separate demonstrations on Elephame at a later date),OR,"Monday, June 1, 2020",2020-06-01,NA
Louisville,"Breonna Taylor, David McAtee, George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Morning-Evening,"Downtown protest, march to site of McAtee's killing then back downtown",KY,"Monday, June 1, 2020",2020-06-01,NA
Oakland,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Evening,No details included for this demonstration.,CA,"Monday, June 1, 2020",2020-06-01,NA
San Francisco,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon,At City Hall,FL,"Monday, June 1, 2020",2020-06-01,NA
Little Rock,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",20+ (est.) demonstrators,Morning,Rally at City Hall,AR,"Monday, June 1, 2020",2020-06-01,NA
Denver,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,Impromptu demonstration after curfew,CO,"Monday, June 1, 2020",2020-06-01,NA
Los Angeles,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,In Hollywood,CA,"Monday, June 1, 2020",2020-06-01,NA
Los Angeles,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",100+ (est.) demonstrators,Afternoon,In Granada Hills,CA,"Monday, June 1, 2020",2020-06-01,NA
Los Angeles,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,"March from City Hall to LAPD HQ, then back to City Hall",CA,"Monday, June 1, 2020",2020-06-01,NA
Riverside,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,Outside Robert Presley Detention Center; some remained after curfew,CA,"Monday, June 1, 2020",2020-06-01,NA
Los Angeles,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200 demonstrators,Evening,"In West Los Angeles/Westwood, rally outside Fed building, march w/ I-405 shutdown",CA,"Monday, June 1, 2020",2020-06-01,NA
Anaheim,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",500+ demonstrators,Afternoon,Combination of 3 diff protests marched; some stayed after curfew,CA,"Monday, June 1, 2020",2020-06-01,NA
Anaheim,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,"Rally at La Palma Park, march to City Hall",CA,"Monday, June 1, 2020",2020-06-01,NA
Anaheim,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Unclear # of demonstrators,Evening,Rally at City Hall,CA,"Monday, June 1, 2020",2020-06-01,NA
Dublin,"George Floyd, General - Police Brutality Against Black People",500 demonstrators,Unclear,No details included for this demonstration.,CA,"Monday, June 1, 2020",2020-06-01,NA
New York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands (est.) demonstrators,Afternoon-Morning,No details for this protest,NY,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Huntington Beach,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",500 demonstrators,Afternoon,No details for this protest,CA,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Oklahoma City,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",600-1000 (est.) demonstrators,Afternoon-Morning,No details for this protest,OK,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Detroit,"Aiyana Jones, George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",400+ (est.) demonstrators,Afternoon,No details for this protest,MI,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Portland,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Morning,No details for this protest,OR,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Murfreesboro,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,Began as silent vigil,TN,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Little Rock,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000+ demonstrators,Evening,"Rally at Capitol, march; splinter group rioted",AR,"Monday, June 1, 2020",2020-06-01,NA
Minneapolis,"George Floyd, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Morning-Evening,Floyd's brother Terrence leads prayer at memorial site,MN,"Monday, June 1, 2020",2020-06-01,NA
Little Rock,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",75-100 demonstrators,Evening-Morning,No details included for this demonstration.,AR,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
"Dublin, Ireland","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon,No details included for this demonstration.,NA,"Monday, June 1, 2020",2020-06-01,NA
"Calgary, Canada","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000-2000 demonstrators,Afternoon,No details included for this demonstration.,NA,"Monday, June 1, 2020",2020-06-01,NA
Denver,"George Floyd, Breonna Taylor, Solidarity - Minneapolis, Solidarity - Louisville, General - Police Brutality Against Black People",1000+ demonstrators,Evening,March from and back to Capitol (Police Chief marched); rally at Capitol,CO,"Monday, June 1, 2020",2020-06-01,NA
Waukesha,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Morning,No details included for this demonstration.,WI,"Monday, June 1, 2020",2020-06-01,NA
Los Angeles,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,"In Van Nuys, roadside demonstration; some stayed after curfew, splinter group rioted",CA,"Monday, June 1, 2020",2020-06-01,NA
Baltimore,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,No details included for this demonstration.,MD,"Monday, June 1, 2020",2020-06-01,NA
Tacoma,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,No details included for this demonstration.,WA,"Monday, June 1, 2020",2020-06-01,NA
San Diego,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,No details included for this demonstration.,CA,"Monday, June 1, 2020",2020-06-01,NA
Buffalo,"Quentin Suttles, Buffalo, George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Afternoon-Evening,No details included for this demonstration.,NY,"Monday, June 1, 2020",2020-06-01,NA
Brownwood,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200+ demonstrators,Afternoon,No details included for this demonstration.,TX,"Monday, June 1, 2020",2020-06-01,NA
Denton,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",100 (est.) demonstrators,Evening,No details included for this demonstration.,TX,"Wednesday, June 3, 2020 - Tuesday, June 2, 2020",2020-06-03,2020-06-02
New York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds-Thousands (est.) demonstrators,Morning,In Manhattan,NY,"Thursday, June 4, 2020 - Tuesday, June 2, 2020",2020-06-04,2020-06-02
Swampscott,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",300+ demonstrators,Afternoon-Evening,No details included for this demonstration.,MA,"Tuesday, June 2, 2020",2020-06-02,NA
York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1500+ demonstrators,Evening,At Continental Square,PA,"Tuesday, June 2, 2020",2020-06-02,NA
Boise,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",3000-5000 demonstrators,Evening,"Vigil at Statehouse, march thru city then back to Statehouse",ID,"Tuesday, June 2, 2020",2020-06-02,NA
Denver,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",75+ (est.) demonstrators,Morning,Memorial w/ 8m 45s silence for time officer who killed Floyd put his knee on Floyd's neck,CO,"Thursday, June 4, 2020 - Tuesday, June 2, 2020",2020-06-04,2020-06-02
Hampton,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",10+ (est.) demonstrators,Evening,March Peninsula Town Center; group splintered w/ one shutting down I-64,VA,"Tuesday, June 2, 2020",2020-06-02,NA
Fredericksburg,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",400 demonstrators,Evening,No details included for this demonstration.,VA,"Tuesday, June 2, 2020",2020-06-02,NA
Newark,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Unclear # of demonstrators,Evening,"Rally at Courthouse Square, ended in dance party",NJ,"Tuesday, June 2, 2020",2020-06-02,NA
New York,"George Floyd, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon,"In Brooklyn, memorial for George Floyd at Cadman Plaza, march over Brooklyn Bridge",NY,"Thursday, June 4, 2020 - Tuesday, June 2, 2020",2020-06-04,2020-06-02
Washington,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds-Thousands (est.) demonstrators,Morning-Afternoon,No details included for this demonstration.,DC,"Thursday, June 4, 2020 - Tuesday, June 2, 2020",2020-06-04,2020-06-02
Fort Bragg,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,CA,"Tuesday, June 2, 2020",2020-06-02,NA
Merrick,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",100+ demonstrators,Evening (est.),White residents blocked protesters from marching,NY,"Tuesday, June 2, 2020",2020-06-02,NA
Midland,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Unclear # of demonstrators,Evening (est.),No details included for this demonstration.,TX,"Tuesday, June 2, 2020",2020-06-02,NA
Nashville,"George Floyd, Breonna Taylor, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon-Evening,Teen-led march,TN,"Thursday, June 4, 2020 - Tuesday, June 2, 2020",2020-06-04,2020-06-02
Los Angeles,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Evening,No details included for this demonstration.,CA,"Thursday, June 4, 2020 - Tuesday, June 2, 2020",2020-06-04,2020-06-02
Seattle,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Evening,No details included for this demonstration.,WA,"Thursday, June 4, 2020 - Tuesday, June 2, 2020",2020-06-04,2020-06-02
Chicago,"George Floyd, Chcago Public Schools, Chicago Police Department, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Evening,No details included for this demonstration.,IL,"Thursday, June 4, 2020 - Tuesday, June 2, 2020",2020-06-04,2020-06-02
Portland,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Evening,No details included for this demonstration.,OR,"Thursday, June 4, 2020 - Tuesday, June 2, 2020",2020-06-04,2020-06-02
San Ramon,"George Floyd, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,CA,"Tuesday, June 2, 2020",2020-06-02,NA
"Paris, France","Adama Traore, George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Evening,No details included for this demonstration.,NA,"Tuesday, June 2, 2020",2020-06-02,NA
Washington,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Afternoon,No details included for this demonstration.,DC,"Tuesday, June 2, 2020",2020-06-02,NA
Los Angeles,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Morning-Afternoon,2 separate groups marching in city,CA,"Tuesday, June 2, 2020",2020-06-02,NA
Boston,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000+ (est.) demonstrators,Evening,No details included for this demonstration.,MA,"Tuesday, June 2, 2020",2020-06-02,NA
Seattle,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Afternoon,March thru city,WA,"Tuesday, June 2, 2020",2020-06-02,NA
Seattle,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000 demonstrators,Afternoon,At Emergency Operations Center for Mayor Jenny Durkin's speech,WA,"Tuesday, June 2, 2020",2020-06-02,NA
Philadelphia,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",50 demonstrators,Afternoon,No details included for this demonstration.,PA,"Tuesday, June 2, 2020",2020-06-02,NA
Philadelphia,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",250 demonstrators,Evening,"In Fishtown, where White men with baseball bats ""patrolled"" the streets during protests the night before",PA,"Tuesday, June 2, 2020",2020-06-02,NA
Philadelphia,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000 demonstrators,Evening,Two separate marches thru city,PA,"Tuesday, June 2, 2020",2020-06-02,NA
Washington,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon,"At Capitol Hill, outside White House",DC,"Wednesday, June 3, 2020 - Tuesday, June 2, 2020",2020-06-03,2020-06-02
New York,"George Floyd, Breonna Taylor, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,In Queens (Astoria),NY,"Tuesday, June 2, 2020",2020-06-02,NA
New York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",50-60 demonstrators,Afternoon,In Queens (Bayside),NY,"Tuesday, June 2, 2020",2020-06-02,NA
New York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000 demonstrators,Afternoon,"In Manhattan, outside Stonewall Inn",NY,"Tuesday, June 2, 2020",2020-06-02,NA
Oakland,"George Floyd, Breonna Taylor, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Afternoon,"In Lake Merritt, attended by Steph Curry, Ayesha Curry & Klay Thompson",CA,"Wednesday, June 3, 2020 - Tuesday, June 2, 2020",2020-06-03,2020-06-02
Seattle,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Afternoon,No details included for this demonstration.,WA,"Wednesday, June 3, 2020 - Tuesday, June 2, 2020",2020-06-03,2020-06-02
San Francisco,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",5000 demonstrators,Afternoon-Evening,Rally outside Mission High School,CA,"Wednesday, June 3, 2020 - Tuesday, June 2, 2020",2020-06-03,2020-06-02
San Jose,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",100 demonstrators,Afternoon,Outside City Hall,CA,"Wednesday, June 3, 2020 - Tuesday, June 2, 2020",2020-06-03,2020-06-02
Atlanta,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Afternoon-Evening,No details included for this demonstration.,GA,"Wednesday, June 3, 2020 - Tuesday, June 2, 2020",2020-06-03,2020-06-02
Fort Worth,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Unclear # of demonstrators,Evening,No details included for this demonstration.,TX,"Wednesday, June 3, 2020 - Tuesday, June 2, 2020",2020-06-03,2020-06-02
Dallas,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",500 demonstrators,Afternoon,"""Conversation Rally"" at City Hall, march to Dealy Plaza then back to City Hall",TX,"Wednesday, June 3, 2020 - Tuesday, June 2, 2020",2020-06-03,2020-06-02
Salem,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",100-200 (est.) demonstrators,Evening,No details included for this demonstration.,OR,"Wednesday, June 3, 2020",2020-06-03,NA
