City,Subject,Participants,Time,Description,State,Date,Date_start,Date_end
Gainesville,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",300+ demonstrators,Afternoon,UF student-led protest,FL,"Wednesday, June 3, 2020",2020-06-03,NA
Gainesville,"George Floyd, General - Police Brutality Against Black People",Unclear # of demonstrators,Evening,No details included for this demonstration.,FL,"Wednesday, June 3, 2020",2020-06-03,NA
Big Rapids,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000+ demonstrators,Afternoon,No details included for this demonstration.,MI,"Wednesday, June 3, 2020",2020-06-03,NA
Grand Island,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",40+ demonstrators,Evening,No details included for this demonstration.,NE,"Wednesday, June 3, 2020",2020-06-03,NA
Grand Island,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",50 demonstrators,Evening (est.),Vigil at YMCA,NE,"Wednesday, June 3, 2020",2020-06-03,NA
Chicago,"George Floyd, Black-Brown Unity",200 demonstrators,Morning,"In Little Village, march after reported tension btwn Black & Latino Chicagoans after earlier protests",IL,"Wednesday, June 3, 2020",2020-06-03,NA
Garden Grove,"George Floyd, General - Police Brutality Against Black People",3000-4000 demonstrators,Afternoon,Teen-organized,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Piedmont,"George Floyd, General - Police Brutality Against Black People",300 (est.) demonstrators,Evening,No details included for this demonstration.,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Livermore,"George Floyd, General - Police Brutality Against Black People",Dozens of demonstrators,Unclear,Teen-organized,CA,"Tuesday, June 2, 2020",2020-06-02,NA
Binghamton,"George Floyd, Broome County Jail, General - Police Brutality Against Black People",350 demonstrators,Evening,No details included for this demonstration.,NY,"Tuesday, June 2, 2020",2020-06-02,NA
Kingman,"George Floyd, General - Police Brutality Against Black People",Unclear # of demonstrators,Morning-Evening (est.),No details included for this demonstration.,AZ,"Tuesday, June 2, 2020",2020-06-02,NA
Franklin,"George Floyd, General - Police Brutality Against Black People",1000+ demonstrators,Evening,No details included for this demonstration.,MA,"Tuesday, June 2, 2020",2020-06-02,NA
"The Hague, Netherlands","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1600 (est.) demonstrators,Evening,Socially distant rally,NA,"Tuesday, June 2, 2020",2020-06-02,NA
Bethesda,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Afternoon,No details included for this demonstration.,MD,"Tuesday, June 2, 2020",2020-06-02,NA
Little Rock,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",30-40 (est.) demonstrators,Afternoon,No details included for this demonstration.,AR,"Tuesday, June 2, 2020",2020-06-02,NA
New York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",10000+ (est.) demonstrators,Afternoon-Evening,"In Manhattan, intertwinned rallies & marches thru city & parks, healthcare workers kneeled",NY,"Tuesday, June 2, 2020",2020-06-02,NA
Ocean City,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1500 (est.) demonstrators,Afternoon,No details included for this demonstration.,NJ,"Tuesday, June 2, 2020",2020-06-02,NA
Chicago,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200 (est.) demonstrators,Afternoon,March from Wrigley Field to Town Hall District Station,IL,"Tuesday, June 2, 2020",2020-06-02,NA
Houston,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon,March from Discovery Green to City Hall (Floyd grew up/lived in Houston),TX,"Tuesday, June 2, 2020",2020-06-02,NA
Boston,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon,No details included for this demonstration.,MA,"Wednesday, June 3, 2020",2020-06-03,NA
Framingham,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",125+ demonstrators,Afternoon,No details included for this demonstration.,MA,"Wednesday, June 3, 2020",2020-06-03,NA
Springfield,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",500+ demonstrators,Afterrnoon,No details included for this demonstration.,MA,"Wednesday, June 3, 2020",2020-06-03,NA
Brunswick,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",100 demonstrators,Evening,No details included for this demonstration.,ME,"Wednesday, June 3, 2020",2020-06-03,NA
Newport Beach,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,Roadside rally at PCH & MacArthur Blvd,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Newport Beach,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",150 demonstrators,Afternoon,At Newport Beach pier,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Newport Beach,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200 demonstrators,Evening,At PCH & Jamboree Rd,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Newport Beach,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",100 demonstrators,Evening,Near City Hall,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Boise,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",100+ (est.) demonstrators,Evening,No details included for this demonstration.,ID,"Wednesday, June 3, 2020",2020-06-03,NA
San Luis Obispo,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200 demonstrators,Afternoon,"Rally at City Hall, march",CA,"Wednesday, June 3, 2020",2020-06-03,NA
"Airdrie, Alberta, Canada","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,At Nose Creek Park,NA,"Wednesday, June 3, 2020",2020-06-03,NA
New Haven,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",60 demonstrators,Afternoon,"March from New Haven Green, march to police HQ; Police officials met w/ participants",CT,"Wednesday, June 3, 2020",2020-06-03,NA
Fredericksburg,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",150 demonstrators,Evening,No details included for this demonstration.,NA,"Wednesday, June 3, 2020",2020-06-03,NA
"Calgary, Alberta, Canada","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon-Evening,March from Poppy Plaza to vigil at Olympic Plaza,NA,"Wednesday, June 3, 2020",2020-06-03,NA
Sonora,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000 demonstrators,Afternoon,No details included for this demonstration.,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Wilkes-Barre,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,March to rally at Public Square,PA,"Wednesday, June 3, 2020",2020-06-03,NA
Washington,"George Floyd, Ahmaud Arbery, Breonna Taylor, General - Police Brutality Against Black People",40 (est.) demonstrators,Morning,"Socially distant 8m 46s moment of silence by US Sen Dems in Emancipation Hall, some knelt",DC,"Wednesday, June 3, 2020",2020-06-03,NA
"Merrick, New York","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Evening,No details included for this demonstration.,NA,"Wednesday, June 3, 2020",2020-06-03,NA
Lambertville,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",350 demonstrators,Evening,No details included for this demonstration.,MI,"Wednesday, June 3, 2020",2020-06-03,NA
Brownsville,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Unclear,No details included for this demonstration.,TX,"Wednesday, June 3, 2020",2020-06-03,NA
Grafton,"George Floyd, General - Police Brutality Against Black People",100+ demonstrators,Evening,No details included for this demonstration.,MA,"Thursday, June 4, 2020",2020-06-04,NA
Burlington,"George Floyd, General - Police Brutality Against Black People",200+ demonstrators,Afternoon,No details included for this demonstration.,WA,"Thursday, June 4, 2020",2020-06-04,NA
Fremont,"George Floyd, General - Police Brutality Against Black People",w00 demonstrators,Afternoon,No details included for this demonstration.,CA,"Thursday, June 4, 2020",2020-06-04,NA
Katy,"George Floyd, General - Police Brutality Against Black People",2000 demonstrators,Evening,Teen-organized,TX,"Thursday, June 4, 2020",2020-06-04,NA
Apple Valley,"George Floyd, General - Police Brutality Against Black People",Hundreds of demonstrators,300-400,No details included for this demonstration.,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Warren Township,"George Floyd, General - Police Brutality Against Black People",200 demonstrators,Morning-Afternoon,No details included for this demonstration.,NJ,"Wednesday, June 3, 2020",2020-06-03,NA
Perrysburg,"George Floyd, General - Police Brutality Against Black People",Dozens of demonstrators,Afternoon,No details included for this demonstration.,OH,"Thursday, June 4, 2020 - Wednesday, June 3, 2020",2020-06-04,2020-06-03
Beaver Dam,"George Floyd, General - Police Brutality Against Black People",24 demonstrators,Afternoon,No details included for this demonstration.,WI,"Wednesday, June 3, 2020",2020-06-03,NA
Carlisle,"George Floyd, General - Police Brutality Against Black People",200 (est.) demonstrators,Hundreds,No details included for this demonstration.,PA,"Wednesday, June 3, 2020",2020-06-03,NA
"London, England","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Evening,"In Hyde Park, march thru city",NA,"Wednesday, June 3, 2020",2020-06-03,NA
"Stockholm, Sweden","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Thousands of demonstrators,Afternoon,No details included for this demonstration.,NA,"Wednesday, June 3, 2020",2020-06-03,NA
West Hollywood,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,No details included for this demonstration.,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Oakdale,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,No details included for this demonstration.,CA,"Wednesday, June 3, 2020",2020-06-03,NA
New York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",1000 demonstrators,Afternoon-Evening,In Manhattan,NY,"Wednesday, June 3, 2020",2020-06-03,NA
New York,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",50 demonstrators,Afternoon,"In Staten Island, rally outside 122nd precinct, march",NY,"Wednesday, June 3, 2020",2020-06-03,NA
Fort Worth,"George Floyd, Solidarity - Minneapolis, Fort Worth, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Afternoon,Outside Tarrant County Courthouse,TX,"Wednesday, June 3, 2020",2020-06-03,NA
Plano,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",350 (est.) demonstrators,Afternoon,"March from Haggard Park to police building, Police Chief marched w/ protesters",TX,"Wednesday, June 3, 2020",2020-06-03,NA
Georgetown,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200+ demonstrators,Unclear,No details included for this demonstration.,TX,"Wednesday, June 3, 2020",2020-06-03,NA
Las Vegas,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",300 demonstrators,Evening,No details included for this demonstration.,NV,"Wednesday, June 3, 2020",2020-06-03,NA
La Habra,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",200 demonstrators,Afternoon,March from El Centro-Lions Park to rally at La Bonita Park,CA,"Wednesday, June 3, 2020",2020-06-03,NA
Minneapolis,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department",Hundreds-Thousands (est.) demonstrators,Continuous,Makeshift memorial at site where Chauvin knelt on Floyd's neck,MN,"Tuesday, May 26, 2020 - Friday, June 5, 2020",2020-05-26,2020-06-05
"Canberra, Australia","George Floyd, Aboriginal People, General - Police Brutality Against Black People",Thousands of demonstrators,Morning,No details included for this demonstration.,NA,"Friday, June 5, 2020",2020-06-05,NA
Chula Vista,"George Floyd, General - Police Brutality Against Black People",100 demonstrators,Afternoon,No details included for this demonstration.,CA,"Thursday, June 4, 2020",2020-06-04,NA
Lewiston,"George Floyd, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,March from Simard-Payne Park to Auburn City Hall,ME,"Thursday, June 4, 2020",2020-06-04,NA
Laredo,"George Floyd, General - Police Brutality Against Black People",Dozens of demonstrators,Morning,No details included for this demonstration.,TX,"Thursday, June 4, 2020",2020-06-04,NA
Spotsylvania County,"George Floyd, General - Police Brutality Against Black People",50 demonstrators,Afternoon,No details included for this demonstration.,VA,"Thursday, June 4, 2020",2020-06-04,NA
Chagrin Falls,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Unclear # of demonstrators,Afternoon,No details included for this demonstration.,OH,"Thursday, June 4, 2020",2020-06-04,NA
"Hull, England","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",250 (est.) demonstrators,Afternoon,No details included for this demonstration.,NA,"Thursday, June 4, 2020",2020-06-04,NA
Minneapolis,"George Floyd, General - Police Brutality Against Black People",Hundreds (est.) demonstrators,Afternoon,Memorial for George Floyd with Floyd's family; a crowd gathered outside as well,MN,"Thursday, June 4, 2020",2020-06-04,NA
Monroe,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Morning-Afternoon,No details included for this demonstration.,MI,"Thursday, June 4, 2020",2020-06-04,NA
"Lincoln, England","George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,NA,"Thursday, June 4, 2020",2020-06-04,NA
Grand Island,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Unclear # of demonstrators,Evening,No details included for this demonstration.,NE,"Thursday, June 4, 2020",2020-06-04,NA
Grayslake,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",400+ demonstrators,Afternoon,No details included for this demonstration.,IL,"Thursday, June 4, 2020",2020-06-04,NA
Chicago,"George Floyd, Chcago Public Schools, Chicago Police Department, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,"In Lincoln Park, outside Lincoln Park High School",IL,"Thursday, June 4, 2020",2020-06-04,NA
Chicago,"George Floyd, Chcago Public Schools, Chicago Police Department, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,Outside CPS district office,IL,"Thursday, June 4, 2020",2020-06-04,NA
Lake Zurich,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hungreds demonstrators,Evening,No details included for this demonstration.,IL,"Thursday, June 4, 2020",2020-06-04,NA
Pontiac,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",300+ demonstrators,Evening,No details included for this demonstration.,MI,"Thursday, June 4, 2020",2020-06-04,NA
Portsmouth,"George Floyd, Solidarity - Minneapolis, General - Police Brutality Against Black People",Hundreds of demonstrators,Evening,No details included for this demonstration.,NH,"Thursday, June 4, 2020",2020-06-04,NA
Howell,"George Floyd, General - Police Brutality Against Black People",Hundreds of demonstrators,Afternoon,No details included for this demonstration.,MI,"Thursday, June 4, 2020",2020-06-04,NA
Fountain Valley,"George Floyd, General - Police Brutality Against Black People",400 demonstrators,Unclear,No details included for this demonstration.,CA,"Thursday, June 4, 2020",2020-06-04,NA
Minneapolis,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department",Unclear # of demonstrators,Continuous,Makeshift memorial at site where Chauvin knelt on Floyd's neck,MN,"Tuesday, May 26, 2020 - Monday, June 1, 2020",2020-05-26,2020-06-01
Portland,"George Floyd, Minneapolis",50+ (est.) demonstrators,Continuous,Ongoing vigil outside Justice Center,OR,"Thursday, May 28, 2020 - Monday, June 1, 2020",2020-05-28,2020-06-01
New York,"George Floyd, Minneapolis, General",Thousands (est.) demonstrators,Afternoon-Morning,No details for this protest,NY,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Huntington Beach,"George Floyd, Minneapolis, General",500 demonstrators,Afternoon,No details for this protest,CA,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Oklahoma City,"George Floyd, Minneapolis, General",600-1000 (est.) demonstrators,Afternoon-Morning,No details for this protest,OK,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Detroit,"Aiyana Jones, George Floyd, Minneapolis, General",400+ (est.) demonstrators,Afternoon,No details for this protest,MI,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Portland,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon-Morning,No details for this protest,OR,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
Murfreesboro,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,Began as silent vigil,TN,"Sunday, May 31, 2020 - Monday, June 1, 2020",2020-05-31,2020-06-01
"London, England","George Floyd, Minneapolis, General",Thousands of demonstrators,Afternoon (est.),March to US Embassy (street to US Embassy blocked b/c high num of protesters),NA,"Sunday, May 31, 2020",2020-05-31,NA
"Copenhagen, Denmark","George Floyd, Minneapolis, General",2000 demonstrators,Afternoon,No details included for this demonstration.,NA,"Sunday, May 31, 2020",2020-05-31,NA
Youngstown,"George Floyd, Minneapolis, General",200-300 (est.) demonstrators,Afternoon,No details included for this demonstration.,OH,"Sunday, May 31, 2020",2020-05-31,NA
New Haven,"George Floyd, Minneapolis, General",1000+ (est.) demonstrators,Afternoon-Evening,I-95 shutdown,CT,"Sunday, May 31, 2020",2020-05-31,NA
San Diego,"George Floyd, Minneapolis, General",1000 (est.) demonstrators,Afternoon-Evening,No details included for this demonstration.,CA,"Sunday, May 31, 2020",2020-05-31,NA
Modesto,"George Floyd, Minneapolis, General",500 (est.) demonstrators,Morning,No details included for this demonstration.,CA,"Sunday, May 31, 2020",2020-05-31,NA
Charlotte,"George Floyd, Minneapolis, General",3000+ demonstrators,Afternoon,No details included for this demonstration.,NC,"Sunday, May 31, 2020",2020-05-31,NA
Tampa,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon-Evening,No details for this protest,FL,"Sunday, May 31, 2020",2020-05-31,NA
Boston,"George Floyd, Minneapolis, General",Thousands of demonstrators,Afternoon-Evening,No details for this protest,MA,"Sunday, May 31, 2020",2020-05-31,NA
Kansas City,"George Floyd, Minneapolis, General",1000+ (est.) demonstrators,Afternoon-Evening,No details for this protest,MO,"Sunday, May 31, 2020",2020-05-31,NA
Portland,"George Floyd, Minneapolis, General",300 demonstrators,Afternoon,"March from City Hall to rally at police building; small ""break off"" march",ME,"Sunday, May 31, 2020",2020-05-31,NA
Columbia,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon,"Rally at Statehouse; some stayed at Statehouse, others marched thru city",SC,"Sunday, May 31, 2020",2020-05-31,NA
Charleston,"George Floyd, Minneapolis, General",200 demonstrators,Afternoon-Evening,No details included for this demonstration.,SC,"Sunday, May 31, 2020",2020-05-31,NA
"Montreal, Canada","George Floyd, Régis Korchinski-Paquet, General",Thousands of demonstrators,Evening,"Rally outside police building, march thru downtown",NA,"Sunday, May 31, 2020",2020-05-31,NA
"Cardiff, Wales","George Floyd, Minneapolis, General",Hundreds of demonstrators,Unclear,Gathering at Cardiff Castle,NA,"Sunday, May 31, 2020",2020-05-31,NA
"Vancouver, Canada","Regis Korchinski-Paquet, George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,At Vancouver Art Gallery,NA,"Sunday, May 31, 2020",2020-05-31,NA
Columbus,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,No details for this protest,OH,"Sunday, May 31, 2020",2020-05-31,NA
Jacksonville,"George Floyd, Minneapolis, General",Unclear # of demonstrators,Morning-Evening,No details included for this demonstration.,FL,"Sunday, May 31, 2020",2020-05-31,NA
Gainesville,"George Floyd, Minneapolis, General",50 demonstrators,Evening,No details included for this demonstration.,FL,"Sunday, May 31, 2020",2020-05-31,NA
Brattleboro,"George Floyd, Breonna Taylor, Ahmaud Arbery, Sean Reed",1000+ demonstrators,Afternoon,No details included for this demonstration.,VT,"Sunday, May 31, 2020",2020-05-31,NA
Aurora,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,No details included for this demonstration.,IL,"Sunday, May 31, 2020",2020-05-31,NA
Lancaster,"George Floyd, Minneapolis, General",Unclear # of demonstrators,Afternoon,"""Honk and Drive"" car caravan protest; created due to COVID-19 pandemic",PA,"Sunday, May 31, 2020",2020-05-31,NA
Chicago,"George Floyd, Minneapolis, General",Thousands of demonstrators,Afternoon-Evening,No details included for this demonstration.,IL,"Sunday, May 31, 2020",2020-05-31,NA
Houston,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Afternoon-Evening,No details for this protest,TX,"Sunday, May 31, 2020",2020-05-31,NA
Washington,"George Floyd, Minneapolis, General",1000+ demonstrators,Afternoon-Evening,"Outside White House, Trump moved to bunker",DC,"Sunday, May 31, 2020",2020-05-31,NA
Kennesaw,"George Floyd, Minneapolis, General",100+ (est.) demonstrators,Afternoon,No details for this protest,GA,"Sunday, May 31, 2020",2020-05-31,NA
Torrance,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon,No details included for this demonstration.,CA,"Sunday, May 31, 2020",2020-05-31,NA
Memphis,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening-Morning,No details included for this demonstration.,TN,"Saturday, May 30, 2020 - Sunday, May 31, 2020",2020-05-30,2020-05-31
